Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
G1	CCA1_2	RAP2.3_2	13	893	267	0.0938934	0.298571	1	1	AT1G07930;AT1G57720;AT2G04390;AT2G43460;AT3G45030;AT3G61110;AT4G15910;AT4G27090;AT4G29410;AT4G40040;AT5G02450;AT5G53460;AT5G56670;
G1	CCA1_2	RAP2.3_3ARY	14	882	267	0.0483082	0.241541	1	1	AT1G09690;AT1G14320;AT1G57720;AT2G04390;AT2G23120;AT2G43460;AT3G61110;AT4G15910;AT4G27090;AT4G29410;AT4G40040;AT5G02450;AT5G53460;AT5G56670;
G1	CCA1_2	RAP2.6	11	880	267	0.232667	0.326152	1	1	AT1G14320;AT2G04390;AT2G43460;AT3G45030;AT3G61110;AT4G15910;AT4G27090;AT4G40040;AT5G02450;AT5G53460;AT5G56670;
G1	CCA1_2	RAP2.6_2	12	889	267	0.153993	0.320427	1	1	AT1G07930;AT1G14320;AT1G65930;AT2G04390;AT3G49010;AT3G61110;AT4G15910;AT4G29410;AT4G40040;AT5G02450;AT5G53460;AT5G56670;
G1	CCA1_2	RAP2.6_3ARY	12	880	267	0.146489	0.320427	1	1	AT1G43170;AT1G56045;AT1G76680;AT2G04390;AT3G09200;AT3G61110;AT4G15910;AT4G29410;AT4G40040;AT5G02450;AT5G53460;AT5G56670;
G1	CCA1_2	RRTF1	13	878	267	0.0851068	0.298571	1	1	AT1G14320;AT2G04390;AT2G43460;AT3G45030;AT3G61110;AT4G15910;AT4G27090;AT4G29410;AT4G40040;AT5G02450;AT5G53460;AT5G56670;AT5G62300;
G1	CCA1_2	RRTF1_2	10	899	267	0.369511	0.369511	1	1	AT1G56045;AT2G04390;AT3G61110;AT4G15910;AT4G27090;AT4G29410;AT4G40040;AT5G02450;AT5G53460;AT5G56670;
G1	CCA1_2	RRTF1_3ARY	13	880	267	0.0862471	0.298571	1	1	AT1G56045;AT1G57720;AT2G04390;AT2G43460;AT3G45030;AT3G61110;AT4G15910;AT4G27090;AT4G29410;AT4G40040;AT5G02450;AT5G53460;AT5G56670;
G1	CCA1_2	RVE1	5	717	267	0.824744	0.824744	1	1	AT1G17180;AT1G17190;AT4G27090;AT5G56670;AT5G62300;
G1	CCA1_2	RVE1_2	10	1625	267	0.955132	0.955132	1	1	AT1G20450;AT1G50010;AT1G65290;AT1G65930;AT2G27710;AT3G23830;AT3G49010;AT4G27090;AT5G19510;AT5G56670;
G1	DDF1	DREB2C	13	1150	267	0.319955	0.326152	1	1	AT1G27400;AT1G74050;AT1G77940;AT3G18740;AT3G53020;AT3G53890;AT3G56020;AT3G60770;AT5G08670;AT5G18380;AT5G20020;AT5G20290;AT5G23900;
G1	DDF1	DREB2C_2	21	2231	267	0.581228	0.581228	1	1	AT1G04270;AT1G20440;AT1G20450;AT1G27400;AT1G74050;AT1G76680;AT1G78040;AT2G14890;AT2G30870;AT3G05590;AT3G17390;AT3G18740;AT3G53020;AT3G53890;AT3G55750;AT3G56020;AT4G14960;AT4G29410;AT4G34870;AT5G02450;AT5G18380;
G1	DDF1	GLK1	8	1043	267	0.792503	0.792503	1	1	AT1G04820;AT1G27400;AT1G74050;AT1G76680;AT2G40590;AT3G18740;AT4G18100;AT5G08790;
G1	DDF1	GLK1_2	8	906	267	0.650315	0.650315	1	1	AT1G27400;AT3G18740;AT3G53890;AT4G18100;AT4G34870;AT5G02450;AT5G18380;AT5G60390;
G1	DDF1	KAN1	8	897	267	0.639298	0.639298	1	1	AT2G14890;AT2G30870;AT2G31610;AT2G40590;AT3G53020;AT3G56340;AT4G25630;AT4G29410;
G1	DDF1	KAN4	9	872	267	0.466901	0.466901	1	1	AT1G23490;AT1G27400;AT1G77940;AT2G31610;AT2G40590;AT3G56340;AT4G29410;AT4G34870;AT5G02450;
G1	DDF1	KAN4_2	7	878	267	0.746913	0.746913	1	1	AT1G04270;AT1G77940;AT2G30870;AT3G53890;AT4G34870;AT5G16130;AT5G18380;
G1	DDF1	MYB111	11	945	267	0.306374	0.326152	1	1	AT1G74050;AT2G30870;AT3G04400;AT3G05590;AT3G18740;AT3G58610;AT3G60770;AT4G14960;AT5G08790;AT5G18380;AT5G60390;
G1	DDF1	MYB111_2	12	1019	267	0.281835	0.326152	1	1	AT1G04270;AT1G04820;AT1G74050;AT2G23120;AT2G30870;AT2G31610;AT3G04400;AT3G17390;AT3G58610;AT4G14960;AT5G18380;AT5G60390;
G1	DDF1	MYB46	10	957	267	0.444795	0.444795	1	1	AT1G74050;AT3G04400;AT3G05590;AT3G53890;AT3G58610;AT3G60770;AT4G14960;AT5G11740;AT5G18380;AT5G60390;
G1	DDF1	MYB46_2	10	1143	267	0.669015	0.669015	1	1	AT1G04820;AT1G74050;AT2G31610;AT2G47610;AT3G17390;AT3G18740;AT3G53020;AT5G08790;AT5G18380;AT5G60390;
G1	DDF1	MYB52	13	1167	267	0.338612	0.338612	1	1	AT1G33120;AT1G33140;AT1G78040;AT2G47610;AT3G18740;AT3G53020;AT3G55750;AT3G60770;AT5G11740;AT5G15200;AT5G18380;AT5G20020;AT5G60390;
G1	DDF1	MYB52_2	7	929	267	0.796374	0.796374	1	1	AT1G04270;AT2G14890;AT2G47610;AT3G60770;AT5G16130;AT5G18380;AT5G56030;
G1	DDF1	MYB55	8	965	267	0.71757	0.71757	1	1	AT1G74050;AT2G47610;AT3G04400;AT3G53020;AT3G58610;AT3G60770;AT5G18380;AT5G60390;
G1	DDF1	MYB55_2	12	1109	267	0.384871	0.384871	1	1	AT1G04270;AT1G74050;AT2G31610;AT2G47610;AT3G04400;AT3G17390;AT3G18740;AT3G53020;AT5G08790;AT5G18380;AT5G20290;AT5G60390;
G1	DDF1	MYB59	10	914	267	0.388924	0.388924	1	1	AT1G33120;AT1G33140;AT2G23120;AT2G30870;AT2G31610;AT3G58610;AT3G60770;AT5G02450;AT5G20020;AT5G20290;
G1	DDF1	RAP2.3	21	1603	267	0.0968826	0.298571	1	1	AT1G27400;AT1G33120;AT1G33140;AT1G74050;AT1G77940;AT2G30870;AT2G31610;AT3G18740;AT3G53020;AT3G53890;AT3G56020;AT3G56340;AT3G60770;AT4G29410;AT5G02450;AT5G08670;AT5G08790;AT5G11740;AT5G18380;AT5G20290;AT5G41520;
G1	DDF1	RAP2.3_2	22	1651	267	0.0792089	0.298571	1	1	AT1G27400;AT1G33120;AT1G33140;AT1G74050;AT1G77940;AT1G78040;AT2G14890;AT2G30870;AT2G31610;AT3G18740;AT3G53020;AT3G53890;AT3G55750;AT3G56020;AT3G60770;AT4G29410;AT5G02450;AT5G08670;AT5G08790;AT5G18380;AT5G20290;AT5G41520;
G1	DDF1	RAP2.3_3ARY	26	1805	267	0.0272703	0.163622	1	1	AT1G04270;AT1G27400;AT1G33120;AT1G33140;AT1G74050;AT1G77940;AT1G78040;AT2G14890;AT2G23120;AT2G30870;AT3G04400;AT3G05590;AT3G18740;AT3G53020;AT3G53890;AT3G56020;AT4G14960;AT4G25630;AT4G29410;AT5G02450;AT5G08670;AT5G08790;AT5G11740;AT5G18380;AT5G20290;AT5G41520;
G1	DDF1	RAP2.6	21	1552	267	0.075329	0.298571	1	1	AT1G27400;AT1G33120;AT1G33140;AT1G74050;AT1G77940;AT1G78040;AT2G14890;AT2G31610;AT2G47610;AT3G18740;AT3G53020;AT3G53890;AT3G56020;AT3G56340;AT3G60770;AT5G02450;AT5G08670;AT5G08790;AT5G11740;AT5G18380;AT5G20290;
G1	DDF1	RAP2.6_2	21	1606	267	0.0982633	0.298571	1	1	AT1G27400;AT1G33120;AT1G33140;AT1G74050;AT2G30870;AT3G18740;AT3G53020;AT3G53890;AT3G55750;AT3G56020;AT4G18100;AT4G29410;AT4G34870;AT5G02450;AT5G08670;AT5G08790;AT5G16130;AT5G18380;AT5G20290;AT5G41520;AT5G60390;
G1	DDF1	RAP2.6_3ARY	2	189	267	0.546486	0.546486	1	1	AT4G29410;AT5G11740;
G1	DDF1	RRTF1	21	1545	267	0.0726495	0.290598	1	1	AT1G27400;AT1G33120;AT1G33140;AT1G74050;AT1G77940;AT2G31610;AT2G47610;AT3G18740;AT3G53020;AT3G53890;AT3G56020;AT3G56340;AT3G60770;AT4G29410;AT5G02450;AT5G08670;AT5G08790;AT5G09510;AT5G11740;AT5G18380;AT5G20290;
G1	DDF1	RRTF1_2	21	1675	267	0.133525	0.320427	1	1	AT1G27400;AT1G33120;AT1G33140;AT1G74050;AT2G14890;AT2G30870;AT3G18740;AT3G53020;AT3G53890;AT3G55750;AT3G56020;AT3G56340;AT3G60770;AT4G14960;AT4G29410;AT5G02450;AT5G08670;AT5G08790;AT5G18380;AT5G20290;AT5G41520;
G1	DDF1	RRTF1_3ARY	21	1707	267	0.152143	0.320427	1	1	AT1G27400;AT1G33120;AT1G33140;AT1G74050;AT1G77940;AT2G14890;AT2G30870;AT3G18740;AT3G53020;AT3G53890;AT3G56020;AT3G60770;AT4G14960;AT4G29410;AT5G02450;AT5G08670;AT5G08790;AT5G11740;AT5G18380;AT5G20290;AT5G41520;
G1	DDF1	RVE1	8	769	267	0.465432	0.465432	1	1	AT1G33120;AT1G33140;AT2G14890;AT2G19730;AT2G23120;AT3G17390;AT5G09510;AT5G15200;
G1	DDF1	RVE1_2	7	853	267	0.719794	0.719794	1	1	AT1G04820;AT1G20450;AT3G17390;AT3G58610;AT5G08670;AT5G20020;AT5G60390;
G1	DREB2C	DREB2C_2	27	2360	267	0.203809	0.326152	1	1	AT1G01720;AT1G04410;AT1G14320;AT1G22780;AT1G27400;AT1G74050;AT1G74060;AT2G04390;AT2G17360;AT2G30870;AT3G02080;AT3G09840;AT3G17390;AT3G18740;AT3G28900;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G61110;AT4G14320;AT4G15910;AT5G14800;AT5G18380;AT5G53300;AT5G53460;AT5G56670;
G1	DREB2C	GLK1	19	1226	267	0.0295367	0.17722	1	1	AT1G01720;AT1G14320;AT1G22780;AT1G27400;AT1G70600;AT1G74050;AT2G40205;AT2G40590;AT2G43460;AT2G47110;AT3G02080;AT3G18740;AT3G53430;AT3G53870;AT3G61110;AT3G62250;AT4G11600;AT5G14800;AT5G59850;
G1	DREB2C	GLK1_2	22	1082	267	0.000877511	0.026491	0.234295	1	AT1G01720;AT1G04410;AT1G27400;AT1G50010;AT1G70600;AT2G17360;AT2G43460;AT2G47110;AT3G09500;AT3G09840;AT3G18740;AT3G46040;AT3G53430;AT3G53870;AT3G53890;AT4G11600;AT4G27090;AT4G40040;AT5G18380;AT5G53300;AT5G53460;AT5G59850;
G1	DREB2C	KAN1	13	731	267	0.0261258	0.163473	1	1	AT1G01100;AT1G04410;AT1G14320;AT1G65930;AT2G30870;AT2G31610;AT2G37600;AT2G40590;AT2G45960;AT3G53020;AT3G56340;AT5G47210;AT5G55190;
G1	DREB2C	KAN4	15	837	267	0.0165888	0.13271	1	1	AT1G04410;AT1G07940;AT1G27400;AT1G57720;AT1G77940;AT2G31610;AT2G40590;AT3G53430;AT3G56340;AT4G31700;AT5G02960;AT5G07090;AT5G14800;AT5G47210;AT5G55190;
G1	DREB2C	KAN4_2	17	771	267	0.00144362	0.0319491	0.385446	1	AT1G04410;AT1G07940;AT1G15930;AT1G65930;AT1G77940;AT2G30870;AT2G40205;AT3G28900;AT3G45030;AT3G53890;AT5G02960;AT5G07090;AT5G18380;AT5G47210;AT5G53300;AT5G55190;AT5G61170;
G1	DREB2C	MYB111	11	937	267	0.296963	0.326152	1	1	AT1G65930;AT1G74050;AT2G30870;AT3G05560;AT3G18740;AT3G48930;AT3G60770;AT5G18380;AT5G47210;AT5G53460;AT5G64140;
G1	DREB2C	MYB111_2	14	1092	267	0.173017	0.326152	1	1	AT1G01720;AT1G57720;AT1G65930;AT1G74050;AT1G74060;AT2G30870;AT2G31610;AT3G05560;AT3G17390;AT3G48930;AT5G18380;AT5G47210;AT5G53460;AT5G64140;
G1	DREB2C	MYB46	16	991	267	0.0319243	0.191546	1	1	AT1G01720;AT1G57720;AT1G65930;AT1G70600;AT1G74050;AT1G74060;AT3G05560;AT3G48930;AT3G53890;AT3G60770;AT4G15910;AT5G18380;AT5G47210;AT5G53460;AT5G59850;AT5G64140;
G1	DREB2C	MYB46_2	15	1491	267	0.472688	0.472688	1	1	AT1G01100;AT1G01720;AT1G70600;AT1G74050;AT1G74060;AT2G31610;AT3G05560;AT3G17390;AT3G18740;AT3G45030;AT3G53020;AT5G04800;AT5G18380;AT5G47210;AT5G56670;
G1	DREB2C	MYB52	21	1556	267	0.0768899	0.298571	1	1	AT1G04410;AT1G14320;AT1G33120;AT1G33140;AT1G74060;AT3G02080;AT3G09500;AT3G18740;AT3G46040;AT3G53020;AT3G60770;AT4G14320;AT4G27090;AT4G40040;AT5G02960;AT5G07090;AT5G14800;AT5G18380;AT5G20020;AT5G53300;AT5G56670;
G1	DREB2C	MYB52_2	5	928	267	0.94733	0.94733	1	1	AT1G07940;AT2G27530;AT3G60770;AT3G61110;AT5G18380;
G1	DREB2C	MYB55	18	1239	267	0.0563189	0.253524	1	1	AT1G01720;AT1G09690;AT1G14320;AT1G57720;AT1G70600;AT1G74050;AT1G74060;AT2G47110;AT3G05560;AT3G09840;AT3G53020;AT3G60770;AT4G14320;AT4G15910;AT5G04800;AT5G18380;AT5G47210;AT5G53460;
G1	DREB2C	MYB55_2	16	1390	267	0.270042	0.326152	1	1	AT1G01100;AT1G01720;AT1G22780;AT1G70600;AT1G74050;AT1G74060;AT2G31610;AT3G17390;AT3G18740;AT3G45030;AT3G48930;AT3G53020;AT5G18380;AT5G20290;AT5G47210;AT5G56670;
G1	DREB2C	MYB59	20	904	267	0.000538508	0.026491	0.143782	0.840073	AT1G04410;AT1G07940;AT1G14320;AT1G33120;AT1G33140;AT1G57720;AT1G74060;AT2G04390;AT2G30870;AT2G31610;AT2G47110;AT3G28900;AT3G46040;AT3G53870;AT3G60770;AT4G14320;AT4G27090;AT5G20020;AT5G20290;AT5G47210;
G1	DREB2C	RAP2.3	43	2616	267	0.000387199	0.026491	0.103382	0.60403	AT1G04410;AT1G14320;AT1G15930;AT1G22780;AT1G27400;AT1G57720;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G17360;AT2G30870;AT2G31610;AT2G39460;AT2G43460;AT2G47110;AT3G02080;AT3G09500;AT3G18740;AT3G28900;AT3G45030;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G61110;AT4G14320;AT4G15910;AT4G27090;AT5G02960;AT5G07090;AT5G08670;AT5G14800;AT5G18380;AT5G20290;AT5G47210;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G64140;
G1	DREB2C	RAP2.3_2	48	3198	267	0.00127627	0.0319491	0.340764	1	AT1G01100;AT1G04410;AT1G15930;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G57720;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT2G04390;AT2G17360;AT2G30870;AT2G31610;AT2G39460;AT2G43460;AT3G02080;AT3G18740;AT3G45030;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G60770;AT3G61110;AT4G15910;AT4G27090;AT4G40040;AT5G02960;AT5G04800;AT5G07090;AT5G08670;AT5G14800;AT5G18380;AT5G20290;AT5G41520;AT5G47210;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;AT5G64140;
G1	DREB2C	RAP2.3_3ARY	47	2934	267	0.000357368	0.026491	0.0954172	0.557494	AT1G01100;AT1G04410;AT1G09690;AT1G14320;AT1G15930;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G57720;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT2G04390;AT2G17360;AT2G30870;AT2G39460;AT2G43460;AT3G02080;AT3G09840;AT3G14600;AT3G18740;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G61110;AT4G15910;AT4G27090;AT4G40040;AT5G02960;AT5G07090;AT5G08670;AT5G14800;AT5G18380;AT5G20290;AT5G41520;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;AT5G64140;
G1	DREB2C	RAP2.6	35	2629	267	0.0321928	0.193157	1	1	AT1G04410;AT1G14320;AT1G15930;AT1G22780;AT1G27400;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G17360;AT2G39460;AT2G43460;AT2G47110;AT3G02080;AT3G14600;AT3G18740;AT3G45030;AT3G46040;AT3G53020;AT3G53430;AT3G53890;AT3G56020;AT3G61110;AT4G14320;AT4G27090;AT4G40040;AT5G07090;AT5G14800;AT5G18380;AT5G20290;AT5G47210;AT5G53300;AT5G53460;AT5G56670;AT5G64140;
G1	DREB2C	RAP2.6_2	39	2838	267	0.015391	0.13271	1	1	AT1G01100;AT1G04410;AT1G14320;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G65930;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G27530;AT2G30870;AT2G39460;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G61110;AT4G14320;AT4G15910;AT4G31700;AT4G40040;AT5G02960;AT5G07090;AT5G08670;AT5G14800;AT5G18380;AT5G20290;AT5G41520;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G64140;
G1	DREB2C	RAP2.6_3ARY	15	1575	267	0.559473	0.559473	1	1	AT1G74050;AT1G74060;AT2G04390;AT3G02080;AT3G46040;AT3G53020;AT3G56020;AT4G15910;AT5G07090;AT5G08670;AT5G14800;AT5G18380;AT5G20290;AT5G53300;AT5G56670;
G1	DREB2C	RRTF1	36	2462	267	0.00808984	0.0889883	1	1	AT1G04410;AT1G14320;AT1G15930;AT1G22780;AT1G27400;AT1G70600;AT1G74060;AT1G77940;AT2G04390;AT2G17360;AT2G39460;AT2G43460;AT2G47110;AT3G02080;AT3G14600;AT3G18740;AT3G45030;AT3G46040;AT3G53020;AT3G53430;AT3G53890;AT3G56020;AT3G60770;AT3G61110;AT4G14320;AT4G27090;AT5G02960;AT5G07090;AT5G18380;AT5G20290;AT5G47210;AT5G53300;AT5G53460;AT5G56670;AT5G59850;AT5G64140;
G1	DREB2C	RRTF1_2	44	3025	267	0.00375197	0.0525275	1	1	AT1G01100;AT1G04410;AT1G15930;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G17360;AT2G30870;AT2G39460;AT2G47110;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G56340;AT3G60770;AT3G61110;AT3G62290;AT4G15910;AT4G27090;AT4G40040;AT5G02960;AT5G04800;AT5G07090;AT5G08670;AT5G18380;AT5G20290;AT5G41520;AT5G47210;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;
G1	DREB2C	RRTF1_3ARY	46	3111	267	0.0021981	0.0395657	0.586892	1	AT1G04410;AT1G15930;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G57720;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT2G04390;AT2G17360;AT2G30870;AT2G39460;AT2G43460;AT2G47110;AT3G02080;AT3G14600;AT3G18740;AT3G45030;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G60770;AT3G61110;AT3G62290;AT4G15910;AT4G27090;AT4G40040;AT5G02960;AT5G04800;AT5G07090;AT5G08670;AT5G18380;AT5G20290;AT5G41520;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;
G1	DREB2C	RVE1	8	604	267	0.23064	0.326152	1	1	AT1G33120;AT1G33140;AT3G17390;AT4G11600;AT4G27090;AT5G07090;AT5G53460;AT5G56670;
G1	DREB2C	RVE1_2	8	660	267	0.307062	0.326152	1	1	AT1G50010;AT1G65930;AT3G17390;AT4G27090;AT5G08670;AT5G20020;AT5G55190;AT5G56670;
G1	DREB2C_2	GLK1	13	1127	267	0.295154	0.326152	1	1	AT1G01720;AT1G14320;AT1G17880;AT1G22780;AT1G27400;AT1G74050;AT1G76680;AT3G02080;AT3G18740;AT3G44010;AT3G61110;AT4G39200;AT5G14800;
G1	DREB2C_2	GLK1_2	14	1055	267	0.144149	0.320427	1	1	AT1G01720;AT1G04410;AT1G27400;AT2G17360;AT3G09840;AT3G18740;AT3G46040;AT3G53890;AT4G34870;AT5G02450;AT5G03240;AT5G18380;AT5G53300;AT5G53460;
G1	DREB2C_2	KAN1	7	755	267	0.59587	0.59587	1	1	AT1G04410;AT1G14320;AT2G14890;AT2G30870;AT3G53020;AT4G05320;AT4G29410;
G1	DREB2C_2	KAN4	7	847	267	0.713005	0.713005	1	1	AT1G04410;AT1G27400;AT3G55440;AT4G29410;AT4G34870;AT5G02450;AT5G14800;
G1	DREB2C_2	KAN4_2	8	835	267	0.558574	0.558574	1	1	AT1G04270;AT1G04410;AT2G30870;AT3G28900;AT3G53890;AT4G34870;AT5G18380;AT5G53300;
G1	DREB2C_2	MYB111	4	680	267	0.896615	0.896615	1	1	AT1G74050;AT3G05590;AT4G14960;AT5G53460;
G1	DREB2C_2	MYB111_2	4	718	267	0.918412	0.918412	1	1	AT1G74050;AT1G74060;AT4G14960;AT5G53460;
G1	DREB2C_2	MYB46	5	667	267	0.774254	0.774254	1	1	AT1G74050;AT1G74060;AT3G53890;AT4G14960;AT5G53460;
G1	DREB2C_2	MYB46_2	8	1363	267	0.954996	0.954996	1	1	AT1G01720;AT1G74050;AT1G74060;AT2G31390;AT3G18740;AT3G53020;AT4G05320;AT5G56670;
G1	DREB2C_2	MYB52	19	1502	267	0.139817	0.320427	1	1	AT1G04410;AT1G14320;AT1G17880;AT1G74060;AT1G78040;AT2G31390;AT3G02080;AT3G04920;AT3G18740;AT3G44010;AT3G46040;AT3G53020;AT3G55750;AT4G05320;AT4G14320;AT5G14800;AT5G18380;AT5G53300;AT5G56670;
G1	DREB2C_2	MYB52_2	4	953	267	0.983346	0.983346	1	1	AT1G04270;AT2G14890;AT3G61110;AT5G18380;
G1	DREB2C_2	MYB55	12	1293	267	0.597106	0.597106	1	1	AT1G01720;AT1G14320;AT1G74050;AT1G74060;AT1G75950;AT3G09840;AT3G53020;AT4G14320;AT4G14960;AT4G15910;AT5G18380;AT5G53460;
G1	DREB2C_2	MYB55_2	8	1097	267	0.835072	0.835072	1	1	AT1G22780;AT1G74050;AT1G74060;AT2G31390;AT3G17390;AT3G18740;AT3G53020;AT5G56670;
G1	DREB2C_2	MYB59	11	834	267	0.185316	0.326152	1	1	AT1G04410;AT1G14320;AT1G74060;AT1G75950;AT2G04390;AT2G30870;AT3G28900;AT3G46040;AT4G14320;AT5G02450;AT5G03240;
G1	DREB2C_2	RAP2.3	28	2619	267	0.313221	0.326152	1	1	AT1G04410;AT1G14320;AT1G17880;AT1G22780;AT1G27400;AT1G74050;AT1G74060;AT2G04390;AT2G17360;AT2G30870;AT3G02080;AT3G18740;AT3G28900;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G59540;AT3G61110;AT4G14320;AT4G15910;AT4G29410;AT5G02450;AT5G14800;AT5G18380;AT5G53300;AT5G53460;AT5G56670;
G1	DREB2C_2	RAP2.3_2	4	405	267	0.550996	0.550996	1	1	AT1G22780;AT1G74060;AT3G02080;AT3G46040;
G1	DREB2C_2	RAP2.3_3ARY	3	247	267	0.427221	0.427221	1	1	AT1G14320;AT3G02080;AT3G46040;
G1	DREB2C_2	RAP2.6	28	2689	267	0.365514	0.365514	1	1	AT1G04410;AT1G14320;AT1G17880;AT1G22780;AT1G27400;AT1G74050;AT1G74060;AT1G78040;AT2G04390;AT2G14890;AT2G17360;AT3G02080;AT3G18740;AT3G44010;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G59540;AT3G61110;AT4G14320;AT4G15910;AT5G02450;AT5G14800;AT5G18380;AT5G53300;AT5G53460;AT5G56670;
G1	DREB2C_2	RAP2.6_2	6	408	267	0.203398	0.326152	1	1	AT1G22780;AT1G74060;AT3G53020;AT3G56020;AT3G61110;AT4G14320;
G1	DREB2C_2	RAP2.6_3ARY	34	2374	267	0.0133741	0.120367	1	1	AT1G04270;AT1G04410;AT1G17880;AT1G22780;AT1G74050;AT1G74060;AT1G76680;AT1G78040;AT2G04390;AT2G14890;AT2G17360;AT2G30870;AT3G02080;AT3G05590;AT3G18740;AT3G28900;AT3G46040;AT3G53020;AT3G53890;AT3G55750;AT3G56020;AT3G61110;AT4G05320;AT4G14320;AT4G14960;AT4G15910;AT4G29410;AT4G34870;AT5G02450;AT5G14800;AT5G18380;AT5G53300;AT5G53460;AT5G56670;
G1	DREB2C_2	RRTF1	26	2589	267	0.446636	0.446636	1	1	AT1G04410;AT1G14320;AT1G17880;AT1G22780;AT1G27400;AT1G74050;AT1G74060;AT2G04390;AT2G17360;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G59540;AT3G61110;AT4G14320;AT4G15910;AT4G29410;AT5G02450;AT5G14800;AT5G18380;AT5G53300;AT5G53460;AT5G56670;
G1	DREB2C_2	RRTF1_2	5	366	267	0.279875	0.326152	1	1	AT1G22780;AT1G74060;AT3G02080;AT3G46040;AT3G53020;
G1	DREB2C_2	RRTF1_3ARY	4	320	267	0.373008	0.373008	1	1	AT1G74060;AT3G02080;AT3G46040;AT3G53020;
G1	DREB2C_2	RVE1	5	616	267	0.712094	0.712094	1	1	AT2G14890;AT3G17390;AT5G03240;AT5G53460;AT5G56670;
G1	DREB2C_2	RVE1_2	5	702	267	0.810641	0.810641	1	1	AT1G20450;AT3G17390;AT4G05320;AT4G39200;AT5G56670;
G1	GLK1	GLK1_2	22	1047	267	0.000570957	0.026491	0.152445	0.890692	AT1G01720;AT1G27400;AT1G56045;AT1G65290;AT1G70600;AT1G73230;AT2G43460;AT2G47110;AT3G13920;AT3G18740;AT3G53430;AT3G53870;AT4G00100;AT4G02450;AT4G11600;AT4G17390;AT4G18100;AT5G03850;AT5G27770;AT5G42980;AT5G59850;AT5G62690;
G1	GLK1	KAN1	4	429	267	0.596459	0.596459	1	1	AT3G06700;AT3G52590;AT3G53740;AT4G09800;
G1	GLK1	KAN4	10	789	267	0.234023	0.326152	1	1	AT1G17190;AT1G27400;AT1G56045;AT2G40590;AT3G53430;AT4G02450;AT5G14800;AT5G27770;AT5G39740;AT5G42980;
G1	GLK1	KAN4_2	5	857	267	0.919342	0.919342	1	1	AT2G40205;AT3G13920;AT3G53740;AT5G42980;AT5G62690;
G1	GLK1	MYB111	7	843	267	0.708418	0.708418	1	1	AT1G74050;AT3G18740;AT3G23990;AT3G25520;AT4G02450;AT5G08790;AT5G42980;
G1	GLK1	MYB111_2	10	885	267	0.351499	0.351499	1	1	AT1G01720;AT1G04820;AT1G74050;AT2G05220;AT2G19740;AT3G23390;AT3G23990;AT3G25520;AT5G42980;AT5G52650;
G1	GLK1	MYB46	8	869	267	0.603835	0.603835	1	1	AT1G01720;AT1G70600;AT1G74050;AT3G23990;AT3G25520;AT5G42980;AT5G52650;AT5G59850;
G1	GLK1	MYB46_2	11	1026	267	0.404841	0.404841	1	1	AT1G01720;AT1G04820;AT1G70600;AT1G74050;AT2G05220;AT2G19740;AT3G18740;AT3G23390;AT4G00100;AT5G08790;AT5G52650;
G1	GLK1	MYB52	12	1136	267	0.416735	0.416735	1	1	AT1G14320;AT1G17880;AT3G02080;AT3G18740;AT3G23990;AT3G44010;AT3G49010;AT3G53740;AT4G02450;AT4G17390;AT5G03850;AT5G14800;
